A_deg,Z_mm,X_mm,B_deg,F_mm_min,tension_N
0.0,50.0,50.0,58.16121852638153,500.0,25.0
11.613043273615888,55.0,49.99981831208736,58.16076424786789,500.0,25.0
23.225674667551782,60.0,49.99962049819973,58.16092567527827,500.0,25.0
34.83865041324796,65.0,50.00053452142859,58.16113478001996,500.0,25.0
46.45156204602839,70.0,50.000431810169246,58.1610102538806,500.0,25.0
58.06415581437541,75.0,50.000427460215974,58.16143617615769,500.0,25.0
69.67765915925088,80.0,49.999847049707576,58.16187381181149,500.0,25.0
81.29053780274386,85.0,50.00024712423662,58.16085360117608,500.0,25.0
92.90324872111721,90.0,50.00034096104682,58.16071993691954,500.0,25.0
104.5160190055853,95.0,49.99989256235571,58.161547870633136,500.0,25.0
116.1294476507119,100.0,49.999939999955,58.16079336273104,500.0,25.0
127.74169027009688,105.0,49.99983021213965,58.16004958178996,500.0,25.0
139.35442612643013,110.0,49.99981906209077,58.16147817937247,500.0,25.0
150.967934341435,115.0,50.0000802499195,58.16109175145178,500.0,25.0
162.58018014944957,120.0,50.00055225868763,58.1605477032722,500.0,25.0
174.1932006350297,125.0,50.00025292420037,58.162174380508084,500.0,25.0
185.8067993649703,130.0,50.00025292420037,58.162174380508084,500.0,25.0
197.41981985055043,135.0,50.00055225868763,58.1605477032722,500.0,25.0
209.032065658565,140.0,50.0000802499195,58.16109175145178,500.0,25.0
220.64557387356987,145.0,49.99981906209077,58.16147817937247,500.0,25.0
232.25830972990312,150.0,49.99983021213965,58.16004958178996,500.0,25.0
243.8705523492881,155.0,49.999939999955,58.16079336273104,500.0,25.0
255.48398099441468,160.0,49.99989256235571,58.161547870633136,500.0,25.0
267.09675127888283,165.0,50.00034096104682,58.16071993691954,500.0,25.0
278.70946219725613,170.0,50.00024712423662,58.16085360117608,500.0,25.0
290.3223408407491,175.0,49.999847049707576,58.16187381181149,500.0,25.0
301.9358441856246,180.0,50.000427460215974,58.16143617615769,500.0,25.0
313.5484379539716,185.0,50.000431810169246,58.1610102538806,500.0,25.0
325.161349586752,190.0,50.00053452142859,58.16113478001996,500.0,25.0
336.7743253324482,195.0,49.99962049819973,58.16092567527827,500.0,25.0
348.38695672638414,200.0,49.99981831208736,58.16076424786789,500.0,25.0
360.0,205.0,50.0,174.27049798905298,500.0,25.0
369.9999086974221,50.0,50.30024004891286,-179.55459618804042,500.0,23.333333333333332
358.3875419564092,55.0,50.29995796523862,-58.35222183704478,500.0,23.333333333333332
346.7744592242505,60.0,50.299872965060324,-58.353611846910084,500.0,23.333333333333332
335.1608124261018,65.0,50.30015167465254,-58.3526120748409,500.0,23.333333333333332
323.54866097141627,70.0,50.300275334047036,-58.35220856319313,500.0,23.333333333333332
311.93532507129873,75.0,50.299789887789736,-58.353348403806116,500.0,23.333333333333332
300.3222407130014,80.0,50.30006308928064,-58.35222831181502,500.0,23.333333333333332
288.70965281814927,85.0,50.299581002784635,-58.35192686432453,500.0,23.333333333333332
277.09697746942135,90.0,50.299758336744404,-58.35210769506215,500.0,23.333333333333332
265.4841839480327,95.0,50.300106128892516,-58.35205811450333,500.0,23.333333333333332
253.87161787307483,100.0,50.30014666226415,-58.35241979121205,500.0,23.333333333333332
242.258609422228,105.0,50.30020229477763,-58.35343879897272,500.0,23.333333333333332
230.64497119952495,110.0,50.29970156217041,-58.353838732837275,500.0,23.333333333333332
219.0317223405541,115.0,50.30008270462977,-58.35274487755078,500.0,23.333333333333332
207.4189814620649,120.0,50.30020959002571,-58.35227395422224,500.0,23.333333333333332
195.80615336594133,125.0,50.299785421264964,-58.35214936397939,500.0,23.333333333333332
184.1935967116459,130.0,50.29989668721249,-58.35228779773317,500.0,23.333333333333332
172.58066706019596,135.0,50.300409241098286,-58.35283302041373,500.0,23.333333333333332
160.96753459584966,140.0,50.30004433000043,-58.353026432843684,500.0,23.333333333333332
149.35467740698664,145.0,50.30038893112571,-58.35291249373055,500.0,23.333333333333332
137.74151700673656,150.0,50.3002993785406,-58.352689084509656,500.0,23.333333333333332
126.12886998580124,155.0,50.29997048386016,-58.35304859156113,500.0,23.333333333333332
114.5153763522729,160.0,50.300051774160295,-58.35242090742478,500.0,23.333333333333332
102.90307797907981,165.0,50.29959708235307,-58.35260980802369,500.0,23.333333333333332
91.28961270829275,170.0,50.30020780343446,-58.35173485945014,500.0,23.333333333333332
79.67798654274654,175.0,50.30020775380693,-58.352685310913984,500.0,23.333333333333332
68.0636808775641,180.0,50.299714006429376,-58.352506122287984,500.0,23.333333333333332
56.45228145406269,185.0,50.299925682313614,-58.35228343623157,500.0,23.333333333333332
44.83814510617267,190.0,50.30029757954648,-58.353637931977495,500.0,23.333333333333332
33.225559958626924,195.0,50.300293646572854,-58.35216890915599,500.0,23.333333333333332
21.612908548783334,200.0,50.3003774796217,-58.35257471131539,500.0,23.333333333333332
9.999908697422153,205.0,50.30024004891286,-179.59420216213843,500.0,23.333333333333332
19.9997448870867,50.0,50.60044457884667,174.2246231850078,500.0,21.666666666666668
31.61360412179426,55.0,50.59992794328581,58.54223531689777,500.0,21.666666666666668
43.225486639799755,60.0,50.60032871788109,58.54112365450193,500.0,21.666666666666668
54.83849317695581,65.0,50.6002466125515,58.54210710649656,500.0,21.666666666666668
66.45118608566597,70.0,50.60018229023116,58.5429083487646,500.0,21.666666666666668
78.06511588475162,75.0,50.599631771729165,58.54182671473587,500.0,21.666666666666668
89.67682469117241,80.0,50.59964583589369,58.54178017352133,500.0,21.666666666666668
101.29083563440648,85.0,50.59976843530022,58.54337491680306,500.0,21.666666666666668
112.90395705648505,90.0,50.59996061574444,58.542165902111634,500.0,21.666666666666668
124.51673598786968,95.0,50.60023700669739,58.54197965755057,500.0,21.666666666666668
136.129680132029,100.0,50.60006317729074,58.54046876332076,500.0,21.666666666666668
147.74106023185894,105.0,50.599800356652004,58.54122505050319,500.0,21.666666666666668
159.3545976904383,110.0,50.600335885310116,58.542917278123,500.0,21.666666666666668
170.96758063721924,115.0,50.6004591722803,58.542415793428184,500.0,21.666666666666668
182.58058269244313,120.0,50.600173213916214,58.54227889815802,500.0,21.666666666666668
194.19334534362156,125.0,50.600373717491806,58.54141217581953,500.0,21.666666666666668
205.8057889484936,130.0,50.59982607105602,58.541837058561555,500.0,21.666666666666668
217.41887484125724,135.0,50.599863608145284,58.542231688411775,500.0,21.666666666666668
229.03179671297468,140.0,50.6000184359564,58.542332165634036,500.0,21.666666666666668
240.64493705315695,145.0,50.60011302939932,58.54262452470004,500.0,21.666666666666668
252.25812407517452,150.0,50.59997469211034,58.54204252312555,500.0,21.666666666666668
263.87066497184526,155.0,50.60009419939811,58.54202075371923,500.0,21.666666666666668
275.48395006656364,160.0,50.599825073514786,58.54262963137145,500.0,21.666666666666668
287.0969186905019,165.0,50.60016911294829,58.541716443831916,500.0,21.666666666666668
298.7094595815796,170.0,50.600097167371416,58.542129158435344,500.0,21.666666666666668
310.3227087217032,175.0,50.60009975357203,58.54210877759047,500.0,21.666666666666668
321.9352725571449,180.0,50.60002769703489,58.542245866003206,500.0,21.666666666666668
333.54854938246575,185.0,50.60036606977824,58.54175286881858,500.0,21.666666666666668
345.16076040317114,190.0,50.60008522158544,58.54154660489088,500.0,21.666666666666668
